?Concept	?Broader	?labelNL	?labelEN	?definitions	?altLabelsNL	?altLabelsEN	?reference	?comments
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0054		aardrail	earth rail					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0066		accu	battery					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0067		achterbeplating fender	fender back plating					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0068		achtergrondschild	backing board					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0071		achterland						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0072		achterloopheidscherm	seepage barrier					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0075		achterplaat	anchor plate					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0089	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c4382	actuator	actuator	Het hulpmiddel waarmee de weggebruiker op de hoogte gesteld wordt van een ingezette maatregel. Actuatoren zijn bijvoorbeeld signaalgevers en DRIPs. (bron: Definities Verkeersmanagement)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c4382	https://w3id.org/nen2660/term#DiscreteObject	installatiedeel	installation part	Discreet object dat een onderdeel van een installatie vormt.|Discreet object dat een onderdeel van een installatie vormt.			AOA Begrippen- en Definitielijst	Definitie herschreven zodat Discreet Object genoemd wordt.|Is een apparaat niet een installatiedeel en installatiedeel slechts een ron van apparaat?
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0095	https://bimloket.nl/data/kernmodel/thesaurus#3558a562-2e31-4599-ad0e-8658c0bca110	administratief gebied	administrative area	Passieve functionele entiteit die een niet tastbaar begrensd grondoppervlakvormt, dat als eenheid geldt voor bestuurlijke verantwoordelijkheid voor bedrijfsvoering waarbinnen een specifieke rechtsverhouding te onderscheiden is of waarvoor een specifieke functie of bestemming geldt.			Informatiemodel Grootschalige topografie	Definitie herschreven t.b.v. taxonomie.
